O*NET-SOC Code	Title	Version Year	Year	Period	Reading Comprehension - Level	Active Listening - Level	Writing - Level	Speaking - Level	Mathematical Reasoning - Level	Science - Level	Critical Thinking - Level	Active Learning - Level	Learning Strategies - Level	Monitoring - Level	Social Perceptiveness - Level	Coordination - Level	Persuasion - Level	Negotiation - Level	Instructing - Level	Service Orientation - Level	Complex Problem Solving - Level	Operations Analysis - Level	Technology Design - Level	Installation - Level	Programming - Level	Operations Monitoring - Level	Operation and Control - Level	Equipment Maintenance - Level	Troubleshooting - Level	Repairing - Level	Quality Control Analysis - Level	Judgment and Decision Making - Level	Systems Analysis - Level	Systems Evaluation - Level	Time Management - Level	Management of Financial Resources - Level	Management of Material Resources - Level	Management of Personnel Resources - Level	Equipment Selection - Level
11-1011.00	Chief Executives	2017	2016	2014	1.94557715072661	2.04937049403767	1.65016532745669	2.04937049403767	1.04337347425361	-0.952652358651263	1.94557715072661	1.94557715072661	1.25096016087572	2.54438490059808	1.54637198414564	2.24098897399654	2.1451797340171	1.84178380741556	1.25096016087572	0.851754994294743	2.1451797340171	1.54637198414564	-1.24806418192118	-1.84687193179265	-1.35185752523224	-0.553447192070288	-0.649256432049722	-1.84687193179265	-1.84687193179265	-1.84687193179265	-1.0484615986307	2.74398748388856	2.44857566061864	2.24098897399654	1.94557715072661	2.54438490059808	1.94557715072661	2.44857566061864	NA
11-1021.00	General and Operations Managers	2017	2016	2015	1.34676940085515	1.34676940085515	1.25096016087572	1.34676940085515	0.149153901112228	-0.952652358651263	1.34676940085515	1.04337347425361	0.74796165098369	1.34676940085515	1.34676940085515	1.25096016087572	0.947564234274177	1.04337347425361	0.74796165098369	0.644168307672636	1.14716681756466	0.644168307672636	-0.952652358651263	-1.84687193179265	-1.35185752523224	0.244963141091662	-0.449653848759235	-1.84687193179265	-0.745065672029156	-1.84687193179265	-0.154242025489313	1.14716681756466	0.548359067693202	0.644168307672636	1.14716681756466	0.851754994294743	0.74796165098369	1.25096016087572	-1.84687193179265
11-2011.00	Advertising and Promotions Managers	2017	2016	2010	1.44257864083459	1.44257864083459	1.25096016087572	1.65016532745669	0.644168307672636	NA	1.44257864083459	1.34676940085515	0.947564234274177	1.54637198414564	1.14716681756466	1.65016532745669	1.04337347425361	1.14716681756466	0.947564234274177	0.74796165098369	1.34676940085515	0.74796165098369	-1.14427083861013	-1.84687193179265	-1.35185752523224	-1.0484615986307	-1.54347600519111	-1.84687193179265	-1.75106269181321	-1.84687193179265	NA	1.44257864083459	0.851754994294743	1.14716681756466	1.34676940085515	1.14716681756466	0.244963141091662	1.34676940085515	-1.44766676521167
11-2021.00	Marketing Managers	2017	2016	2015	1.54637198414564	1.44257864083459	1.25096016087572	1.44257864083459	0.644168307672636	-0.649256432049722	1.54637198414564	1.44257864083459	0.947564234274177	1.54637198414564	1.34676940085515	1.14716681756466	1.65016532745669	1.25096016087572	0.947564234274177	0.74796165098369	1.25096016087572	1.04337347425361	-1.14427083861013	-1.84687193179265	-0.84885901534021	-0.84885901534021	-1.84687193179265	-1.84687193179265	-1.84687193179265	-1.84687193179265	-0.745065672029156	1.34676940085515	1.14716681756466	1.14716681756466	1.14716681756466	1.14716681756466	0.348756484402715	1.25096016087572	-1.84687193179265
11-2022.00	Sales Managers	2017	2016	2016	1.34676940085515	1.34676940085515	1.34676940085515	1.44257864083459	0.74796165098369	-1.35185752523224	1.34676940085515	1.25096016087572	1.14716681756466	1.94557715072661	1.44257864083459	1.44257864083459	1.65016532745669	1.25096016087572	1.04337347425361	1.25096016087572	1.25096016087572	0.452549827713768	-1.14427083861013	-1.84687193179265	-1.14427083861013	-0.449653848759235	-0.84885901534021	-1.84687193179265	-1.84687193179265	-1.84687193179265	-0.745065672029156	1.34676940085515	1.14716681756466	1.25096016087572	1.25096016087572	1.04337347425361	0.548359067693202	1.34676940085515	-1.84687193179265
11-3021.00	Computer and Information Systems Managers	2017	2016	2016	1.34676940085515	1.34676940085515	1.34676940085515	1.25096016087572	0.644168307672636	-0.745065672029156	1.34676940085515	1.25096016087572	0.947564234274177	1.65016532745669	1.14716681756466	1.25096016087572	0.947564234274177	0.74796165098369	1.25096016087572	0.644168307672636	1.25096016087572	0.851754994294743	-0.250051265468747	-1.84687193179265	0.244963141091662	0.452549827713768	-0.553447192070288	-1.35185752523224	0.149153901112228	-1.24806418192118	0.548359067693202	1.14716681756466	0.947564234274177	1.25096016087572	1.14716681756466	0.851754994294743	0.644168307672636	1.14716681756466	-0.250051265468747
11-3051.00	Industrial Production Managers	2017	2016	2013	1.54637198414564	1.44257864083459	1.25096016087572	1.34676940085515	0.947564234274177	-0.745065672029156	1.44257864083459	1.34676940085515	1.25096016087572	2.04937049403767	1.14716681756466	1.65016532745669	1.14716681756466	1.14716681756466	0.947564234274177	0.548359067693202	1.14716681756466	0.452549827713768	-0.649256432049722	-1.84687193179265	-0.952652358651263	0.947564234274177	0.548359067693202	-0.84885901534021	-0.250051265468747	-0.84885901534021	1.14716681756466	1.74597456743613	1.25096016087572	1.14716681756466	1.44257864083459	1.34676940085515	1.34676940085515	1.65016532745669	-0.449653848759235
11-3061.00	Purchasing Managers	2017	2016	2010	1.34676940085515	1.44257864083459	1.34676940085515	1.34676940085515	0.947564234274177	-1.35185752523224	1.34676940085515	1.44257864083459	1.14716681756466	1.54637198414564	1.44257864083459	1.54637198414564	1.65016532745669	1.65016532745669	1.04337347425361	1.04337347425361	0.644168307672636	0.244963141091662	NA	-1.84687193179265	-0.952652358651263	-0.345860505448181	-1.54347600519111	-1.84687193179265	-0.649256432049722	-1.84687193179265	0.548359067693202	1.25096016087572	1.14716681756466	1.14716681756466	1.25096016087572	1.65016532745669	1.25096016087572	1.54637198414564	-1.84687193179265
11-3111.00	Compensation and Benefits Managers	2017	2017	2017	1.34676940085515	1.44257864083459	1.34676940085515	1.34676940085515	0.452549827713768	-1.64726934850216	1.34676940085515	1.14716681756466	0.548359067693202	0.851754994294743	1.04337347425361	1.04337347425361	0.74796165098369	0.644168307672636	0.644168307672636	0.644168307672636	0.74796165098369	0.644168307672636	-1.24806418192118	-1.84687193179265	-1.35185752523224	-0.952652358651263	-1.84687193179265	-1.84687193179265	-1.84687193179265	-1.84687193179265	-1.24806418192118	1.34676940085515	1.25096016087572	1.25096016087572	1.25096016087572	1.04337347425361	-0.250051265468747	0.947564234274177	-1.84687193179265
11-3121.00	Human Resources Managers	2017	2016	2010	1.54637198414564	1.65016532745669	1.44257864083459	1.34676940085515	0.851754994294743	-0.649256432049722	1.54637198414564	1.44257864083459	1.34676940085515	1.65016532745669	1.44257864083459	1.44257864083459	1.44257864083459	1.34676940085515	1.34676940085515	1.14716681756466	1.14716681756466	0.348756484402715	-0.952652358651263	-1.84687193179265	NA	-0.952652358651263	-1.54347600519111	-1.84687193179265	-1.84687193179265	-1.84687193179265	NA	1.44257864083459	1.25096016087572	1.54637198414564	1.44257864083459	1.25096016087572	0.74796165098369	1.84178380741556	-1.84687193179265
11-3131.00	Training and Development Managers	2017	2017	2017	1.34676940085515	1.34676940085515	1.34676940085515	1.94557715072661	0.548359067693202	-1.14427083861013	1.34676940085515	1.54637198414564	2.34478231730759	1.54637198414564	1.34676940085515	1.34676940085515	1.25096016087572	0.74796165098369	1.94557715072661	1.04337347425361	1.34676940085515	0.452549827713768	-1.24806418192118	-1.84687193179265	-1.24806418192118	-0.952652358651263	-1.84687193179265	-1.84687193179265	-1.64726934850216	-1.84687193179265	-0.154242025489313	1.34676940085515	1.25096016087572	1.34676940085515	1.34676940085515	1.25096016087572	0.548359067693202	1.44257864083459	-1.84687193179265
11-9021.00	Construction Managers	2017	2016	2013	1.34676940085515	1.34676940085515	1.34676940085515	1.34676940085515	1.14716681756466	-0.0504486821782599	1.34676940085515	1.25096016087572	0.947564234274177	1.44257864083459	1.25096016087572	1.54637198414564	1.25096016087572	1.34676940085515	0.947564234274177	0.548359067693202	1.25096016087572	1.04337347425361	-0.84885901534021	-1.84687193179265	-1.35185752523224	0.548359067693202	-0.154242025489313	-1.84687193179265	-0.0504486821782599	-1.84687193179265	0.644168307672636	1.34676940085515	1.25096016087572	1.25096016087572	1.34676940085515	1.34676940085515	1.34676940085515	1.34676940085515	-1.64726934850216
11-9031.00	Education Administrators, Preschool and Childcare Center/Program	2017	2016	2010	1.44257864083459	1.25096016087572	1.14716681756466	1.25096016087572	0.149153901112228	-1.64726934850216	1.25096016087572	1.04337347425361	1.14716681756466	1.34676940085515	1.04337347425361	1.14716681756466	0.74796165098369	0.947564234274177	0.947564234274177	0.947564234274177	0.548359067693202	-1.0484615986307	-1.24806418192118	-1.84687193179265	-1.44766676521167	-0.649256432049722	-1.44766676521167	-1.84687193179265	-1.24806418192118	-1.84687193179265	-0.649256432049722	1.25096016087572	0.644168307672636	0.851754994294743	1.25096016087572	0.348756484402715	0.74796165098369	1.34676940085515	-1.54347600519111
11-9032.00	Education Administrators, Elementary and Secondary School	2017	2016	2010	1.54637198414564	1.65016532745669	1.54637198414564	1.65016532745669	0.74796165098369	-0.649256432049722	1.54637198414564	1.44257864083459	1.74597456743613	1.74597456743613	1.44257864083459	1.44257864083459	1.34676940085515	1.14716681756466	1.34676940085515	0.947564234274177	1.44257864083459	NA	-1.35185752523224	-1.84687193179265	-0.952652358651263	-0.952652358651263	-1.54347600519111	-1.84687193179265	-1.14427083861013	-1.84687193179265	0.644168307672636	1.54637198414564	1.25096016087572	1.34676940085515	1.44257864083459	NA	NA	1.54637198414564	-1.54347600519111
11-9033.00	Education Administrators, Postsecondary	2017	2016	2010	1.74597456743613	1.54637198414564	1.44257864083459	1.44257864083459	0.452549827713768	-1.24806418192118	1.44257864083459	1.25096016087572	1.14716681756466	1.44257864083459	1.25096016087572	1.34676940085515	1.14716681756466	1.14716681756466	1.34676940085515	1.14716681756466	1.14716681756466	-1.54347600519111	-1.14427083861013	-1.84687193179265	-1.44766676521167	-0.745065672029156	-1.84687193179265	-1.84687193179265	-1.84687193179265	-1.84687193179265	-1.84687193179265	1.34676940085515	1.04337347425361	1.04337347425361	1.44257864083459	NA	0.947564234274177	1.34676940085515	-1.84687193179265
11-9041.00	Architectural and Engineering Managers	2017	2016	2012	1.65016532745669	1.44257864083459	1.44257864083459	1.44257864083459	1.14716681756466	NA	1.54637198414564	1.54637198414564	0.851754994294743	1.44257864083459	1.14716681756466	1.44257864083459	1.25096016087572	1.34676940085515	0.947564234274177	0.851754994294743	1.44257864083459	NA	NA	-1.44766676521167	NA	0.244963141091662	-0.649256432049722	-1.84687193179265	NA	-1.44766676521167	0.644168307672636	1.54637198414564	NA	NA	1.34676940085515	NA	NA	1.34676940085515	-1.44766676521167
